"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.346614869E1,-2.319692522E-1,3.825430945E-2,-4.779879749E-2
3.356379728E1,-3.655920923E-1,-3.848337755E-2,1.443126611E-2
3.366144582E1,-3.966689408E-1,-4.230880737E-1,2.756448276E-2
3.375909442E1,-3.038965166E-1,6.917845458E-2,1.188097894E-1
3.385674301E1,-1.261399537E-1,4.604261369E-2,1.247655526E-1
3.395439161E1,-6.948387623E-2,2.978644073E-1,-3.436015919E-3
3.405204015E1,-3.313846514E-2,-2.223484069E-1,1.863084137E-1
3.414968874E1,-1.359135192E-2,1.067455560E-1,8.536590636E-2
3.424733733E1,-2.031067200E-2,6.772769243E-2,2.993151546E-2
3.434498593E1,5.726693198E-2,-1.839413792E-1,-1.271325797E-1
3.444263452E1,9.620844573E-2,-3.465031087E-1,5.375456065E-2
3.454028312E1,8.261708915E-2,-2.786990628E-2,5.619794875E-2
3.463793171E1,-2.397575416E-2,9.223793447E-2,2.985516004E-2
3.473558030E1,-9.513945878E-2,3.283303929E-3,2.695363574E-2
3.483322890E1,-7.001836598E-2,-3.794888780E-2,-4.390464723E-2
3.493087754E1,8.406785131E-2,-5.092938989E-2,-6.436803192E-2
3.502852614E1,1.456870735E-1,-3.558185324E-2,-1.037676781E-1
3.512617473E1,1.278961450E-1,-5.688514933E-2,-7.948649675E-2
3.522382332E1,1.130067464E-2,-1.086544544E-1,-6.299362332E-2
3.532147197E1,-5.993938819E-2,-1.349972486E-1,-3.489464894E-2
3.541912056E1,-7.482878864E-2,-1.389677525E-1,1.084253844E-2
3.551676921E1,-5.344913341E-3,-1.493521482E-1,2.657185495E-2
3.561441780E1,-2.611372061E-2,-1.838650256E-1,-2.580829710E-2
3.571206645E1,-5.146388337E-2,-3.993413970E-2,-4.955498502E-2
3.580971504E1,-6.024480984E-2,-9.414683282E-2,-5.039490014E-2
3.590736369E1,-7.414158434E-2,-1.733279042E-2,2.725905925E-2
3.600501228E1,-3.527642787E-2,-9.109259397E-2,8.551862091E-3
3.610266093E1,-4.550812021E-2,-3.115320951E-2,-1.152974181E-2
3.620030957E1,-3.038965166E-2,4.749337584E-2,9.162708884E-4
3.629795822E1,-6.490252167E-2,1.066692024E-1,-2.687728032E-2
3.639560687E1,-1.794363745E-2,6.360447407E-2,-1.427855436E-2
3.649325551E1,-1.000262424E-2,4.497363046E-2,-2.451024577E-2
3.659090410E1,-5.344913807E-4,0.000000000E0,-1.320957206E-2
3.668855280E1,1.550024934E-2,-2.825168660E-3,-7.711946499E-3
