"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.363703374E1,-3.101696372E-1,9.648757935E0,1.253539920E0
3.373468228E1,7.728816867E-1,9.481859207E0,1.674078584E0
3.383233088E1,5.174478889E-2,9.487840652E0,2.074876308E0
3.392997947E1,6.436693072E-1,9.666106224E0,2.561217546E0
3.402762806E1,5.647061467E-1,9.556933403E0,2.372782707E0
3.412527660E1,1.341476202E0,9.434899330E0,2.131705761E0
3.422292520E1,7.926225066E-1,9.599406242E0,2.267797709E0
3.432057379E1,7.701897621E-1,9.380462646E0,2.351247311E0
3.441822239E1,7.325028181E-1,9.387940407E0,2.397309303E0
3.451587098E1,1.542772412E0,9.629914284E0,1.913061738E0
3.461351957E1,1.386939883E0,9.478569031E0,1.865803480E0
3.471116817E1,1.096511006E0,9.526723862E0,2.018345833E0
3.480881676E1,1.249352574E0,9.568299294E0,1.933101535E0
3.490646541E1,1.269691467E0,9.535696983E0,1.724327803E0
3.500411400E1,1.078564763E0,9.585947037E0,1.814058661E0
3.510176259E1,7.372884750E-1,9.643374443E0,1.947159410E0
3.519941119E1,6.906284094E-1,9.593423843E0,1.798804402E0
3.529705983E1,7.328019142E-1,9.596415520E0,1.869093537E0
3.539470843E1,6.708876491E-1,9.532706261E0,1.634896040E0
3.549235707E1,7.357929349E-1,9.642776489E0,1.773978829E0
3.559000567E1,7.947162390E-1,9.647860527E0,1.968694806E0
3.568765431E1,8.608179688E-1,9.575777054E0,1.965404749E0
3.578530291E1,8.117650747E-1,9.569196701E0,2.059023857E0
3.588295155E1,8.626125455E-1,9.535099030E0,2.042573214E0
3.598060015E1,6.206383705E-1,9.500103951E0,1.950449586E0
3.607824879E1,1.014257669E0,9.537491798E0,2.191227436E0
3.617589744E1,6.538388133E-1,9.545269012E0,2.082653046E0
3.627354608E1,9.026923180E-1,9.525827408E0,2.344966173E0
3.637119473E1,7.082754970E-1,9.487542152E0,2.207977057E0
3.646884332E1,6.933203340E-1,9.545866966E0,2.247159481E0
3.656649197E1,7.399803996E-1,9.472586632E0,2.309672117E0
3.666414062E1,6.864410043E-1,9.479466438E0,2.400300264E0
3.676178926E1,6.152545214E-1,9.448060036E0,2.331207514E0
3.685943791E1,8.204390407E-1,9.577870369E0,2.128714800E0
3.695708655E1,5.096712112E-1,9.515657425E0,2.230708838E0
3.705473520E1,6.768696904E-1,9.531510353E0,2.271386862E0
3.715238390E1,5.392823815E-1,9.519247055E0,2.213061810E0
3.725003254E1,4.277170599E-1,9.570393562E0,2.240878344E0
3.734768119E1,4.375874400E-1,9.542876244E0,2.184647083E0
3.744532983E1,3.729812205E-1,9.552745819E0,2.141277075E0
3.754297848E1,5.333003402E-1,9.522835732E0,2.100000858E0
3.764062718E1,4.528416991E-1,9.629615784E0,2.029113531E0
3.773827582E1,4.731806815E-1,9.567401886E0,2.083849430E0
3.783592447E1,4.546363056E-1,9.560821533E0,2.050648928E0
3.793357317E1,4.190430641E-1,9.566205978E0,2.045863390E0
3.803122181E1,4.025924206E-1,9.578469276E0,1.901396751E0
