"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.137632321E1,2.700069547E-1,-3.345802054E-2,4.968655109E-2
3.147558521E1,1.155415401E-1,-1.351397764E-2,3.577696159E-3
3.157484721E1,1.693093628E-1,-1.158940122E-1,4.259094968E-2
3.167411017E1,5.376296639E-1,-2.358280718E-1,1.595344394E-2
3.177337217E1,9.535248876E-1,1.757756323E-1,-2.642636597E-1
3.187263417E1,2.801826000E0,-1.101299047E0,1.294657439E-1
3.197189517E1,4.362469196E0,-7.824008912E-2,-1.704556942E-1
3.207115717E1,3.679790974E0,2.716868222E-1,-3.052328527E-1
3.217041917E1,5.351610780E-1,1.497798443E0,-1.170271039E-1
3.226968017E1,-5.309545994E0,-6.842193604E-1,4.303258061E-1
3.236894217E1,-9.408523560E0,5.255181193E-1,-3.178544343E-1
3.246820317E1,3.850217760E-1,-4.037916183E0,-2.762446642E0
3.256746517E1,5.784592032E-1,-1.836285710E0,-1.121735096E0
3.266672704E1,-4.453775883E-1,1.220146418E0,-1.293761015E0
3.276598804E1,-1.125455871E-1,-1.000795245E0,2.638699114E-2
3.286524904E1,2.713805996E-3,5.321390033E-1,-1.510481536E-1
3.296451104E1,-1.470989827E-2,-7.258132845E-2,1.390983351E-3
3.306377204E1,-5.266410485E-2,-2.811488509E-1,3.999479115E-2
3.316303404E1,-3.366705030E-2,1.699549556E-1,-6.842160225E-2
3.326229504E1,-3.268309310E-2,-1.974221319E-1,-1.043885574E-1
3.336155604E1,-4.968441650E-2,-1.248712942E-5,-1.292319447E-1
3.346081704E1,-5.145914480E-2,-5.218221545E-1,8.070317656E-2
3.356007904E1,-9.340879321E-2,6.024643406E-2,-2.821312100E-2
3.365934329E1,-1.845310926E-1,-2.505997419E-1,6.535711139E-2
3.375860429E1,-1.176801845E-1,-1.776056886E-1,2.430975139E-1
3.385786529E1,4.912195262E-3,-1.346865892E-1,1.729464680E-1
3.395712629E1,-3.190847486E-2,6.292887032E-2,1.057484746E-1
3.405638729E1,-5.777085572E-2,-1.004865542E-1,1.568107903E-1
3.415564929E1,-6.491463631E-3,-5.543007255E-1,2.011267394E-1
3.425491029E1,8.285682648E-2,-2.635192573E-1,1.589346826E-1
3.435417129E1,7.162302732E-2,-1.492760982E-2,9.949828684E-2
3.445343229E1,1.756150573E-1,2.433455139E-1,-3.895310313E-2
3.455269329E1,1.745964140E-1,-1.375647932E-1,2.933330648E-2
3.465195004E1,1.055174619E-1,-2.252676189E-1,-1.885067672E-3
3.475121104E1,-6.324483454E-2,1.413703561E-1,-1.555956900E-1
3.485047204E1,-1.517119855E-1,-4.952614754E-2,-1.320096552E-1
3.494973204E1,-8.456931263E-2,-7.550301403E-2,-1.037056595E-1
3.504899304E1,-2.669062279E-2,2.682530787E-3,-9.318426996E-2
3.514825404E1,-1.038589887E-2,-5.346950144E-2,-5.386622250E-2
3.524751504E1,-7.531660050E-2,2.027106937E-3,-4.550644755E-2
3.534677604E1,-8.502785116E-2,3.269093810E-3,-3.375563398E-2
3.544603704E1,-1.044913903E-1,1.009737421E-2,-4.786863178E-2
3.554529804E1,-4.765867814E-2,-7.363899797E-2,-2.755913511E-2
3.564455804E1,-1.858066581E-2,3.631622996E-3,-2.009500563E-2
3.574381929E1,-1.358698588E-2,8.220665902E-2,-2.738120779E-2
3.584308029E1,-2.979189157E-2,-2.462145500E-2,-1.822672784E-2
3.594234129E1,-2.581544779E-2,4.496948048E-2,-3.060078993E-2
3.604160129E1,-3.008687869E-2,5.348826572E-2,1.135707553E-2
3.614086229E1,1.287361421E-2,5.315016955E-2,-1.088895649E-2
3.624012329E1,-1.234018803E-2,2.476266958E-2,-4.837419372E-3
3.633938329E1,7.132347673E-5,4.835076258E-2,-1.434095204E-2
3.643864429E1,2.961605322E-3,1.488288026E-2,1.084595826E-2
3.653790529E1,5.387033895E-2,4.887833446E-2,1.159678996E-1
3.663716529E1,1.495803595E-1,1.441128850E-1,3.506770357E-2
3.673642621E1,8.463303745E-2,1.014128849E-1,-1.160771400E-2
3.683568721E1,2.233133093E-2,4.305652529E-2,-7.526646554E-2
3.693494721E1,9.339723736E-2,1.174555048E-1,2.400061302E-2
3.703420821E1,2.019678056E-2,9.007688612E-3,9.460438974E-3
3.713346821E1,4.439930618E-2,5.059705302E-2,-2.021460608E-2
3.723272921E1,3.841637401E-3,2.956013381E-2,-7.803048939E-2
3.733198921E1,8.367871493E-2,2.751078270E-2,2.698667906E-2
3.743125021E1,8.883515000E-2,6.426198781E-2,-3.327263892E-2
3.753051021E1,1.069468912E-3,2.468402684E-2,3.127518296E-2
